setting,model,mean_precision | l<500 | r<0.25,mean_precision | l<500 | r>=0.25,mean_precision | l>=500 | r<0.25,mean_precision | l>=500 | r>=0.25,mean_recall | l<500 | r<0.25,mean_recall | l<500 | r>=0.25,mean_recall | l>=500 | r<0.25,mean_recall | l>=500 | r>=0.25,mean_f1 | l<500 | r<0.25,mean_f1 | l<500 | r>=0.25,mean_f1 | l>=500 | r<0.25,mean_f1 | l>=500 | r>=0.25,mean_hit | l<500 | r<0.25,mean_hit | l<500 | r>=0.25,mean_hit | l>=500 | r<0.25,mean_hit | l>=500 | r>=0.25,mean_mrr | l<500 | r<0.25,mean_mrr | l<500 | r>=0.25,mean_mrr | l>=500 | r<0.25,mean_mrr | l>=500 | r>=0.25,geom_inter_intra_ratio | l<500 | r<0.25,geom_inter_intra_ratio | l<500 | r>=0.25,geom_inter_intra_ratio | l>=500 | r<0.25,geom_inter_intra_ratio | l>=500 | r>=0.25,geom_centroid_margin | l<500 | r<0.25,geom_centroid_margin | l<500 | r>=0.25,geom_centroid_margin | l>=500 | r<0.25,geom_centroid_margin | l>=500 | r>=0.25
best_trials,Baseline,11.66,56.28,18.46,49.72,1.87,6.05,0.6,1.73,3.1,10.62,1.16,3.31,76.31,97.77,90.76,96.56,25.29,70.2,38.03,63.7,55.81,59.2,45.94,74.27,-6.49,-5.67,-8.66,-3.94
best_trials,Oracle,96.41,100.0,100.0,100.0,15.19,10.74,3.3,3.46,25.22,18.85,6.33,6.62,,,,,,,,,55.81,59.2,45.94,74.27,-6.49,-5.67,-8.66,-3.94
best_trials,albert-base-v2,56.53,82.24,67.62,88.44,8.55,8.74,2.16,3.04,14.24,15.34,4.15,5.82,95.64,99.27,98.13,99.6,79.04,91.62,85.75,94.56,55.29,58.3,45.22,76.75,-7.92,-6.96,-10.38,-4.31
best_trials,bert-base-cased,60.26,83.64,67.89,89.63,9.12,8.88,2.16,3.08,15.18,15.59,4.14,5.89,96.42,99.33,98.32,99.58,82.54,93.08,87.34,95.59,50.48,53.0,31.94,59.29,-4.24,-3.88,-6.1,-3.53
best_trials,distilbert-base-cased,58.8,83.29,66.95,88.1,8.88,8.85,2.12,3.02,14.79,15.54,4.07,5.78,96.44,99.31,98.39,99.42,81.85,92.67,88.1,95.47,53.51,58.65,36.37,69.25,-2.86,-2.36,-4.35,-1.94
best_trials,distilroberta-base,41.82,78.05,52.36,80.3,6.27,8.3,1.66,2.75,10.45,14.57,3.18,5.27,93.32,99.1,97.14,99.03,68.26,89.17,77.3,91.11,41.1,53.36,33.59,69.23,-1.48,-1.36,-1.42,-1.08
best_trials,gpt2,21.76,63.4,34.83,61.01,3.24,6.72,1.09,2.08,5.4,11.8,2.09,3.97,85.73,98.46,95.19,98.31,46.44,79.39,66.24,79.24,25.45,42.84,30.6,59.27,-18.73,-14.96,-18.14,-17.32
best_trials,roberta-base,46.47,79.45,56.29,84.71,6.98,8.44,1.79,2.91,11.63,14.82,3.42,5.56,94.09,99.27,97.18,99.43,71.5,89.99,79.57,93.09,44.93,55.34,34.65,76.62,-1.96,-1.74,-2.13,-1.4
best_trials,xlnet-base-cased,48.2,80.77,53.84,84.7,7.03,8.53,1.66,2.89,11.74,14.98,3.19,5.52,95.33,99.28,97.8,99.44,77.74,91.5,80.92,94.04,39.87,50.68,26.84,74.86,-35.77,-28.86,-49.54,-16.0
no_finetune,Baseline,11.66,56.28,18.46,49.72,1.87,6.05,0.6,1.73,3.1,10.62,1.16,3.31,76.31,97.77,90.76,96.56,25.29,70.2,38.03,63.7,55.81,59.2,45.94,74.27,-6.49,-5.67,-8.66,-3.94
no_finetune,Oracle,96.41,100.0,100.0,100.0,15.19,10.74,3.3,3.46,25.22,18.85,6.33,6.62,,,,,,,,,55.81,59.2,45.94,74.27,-6.49,-5.67,-8.66,-3.94
no_finetune,albert-base-v2,56.53,82.22,66.64,88.44,8.55,8.73,2.13,3.04,14.24,15.34,4.09,5.82,95.64,99.25,98.13,99.6,79.04,91.25,85.59,94.56,55.29,58.3,45.22,76.75,-7.92,-6.96,-10.38,-4.31
no_finetune,bert-base-cased,59.59,83.54,66.34,89.39,8.99,8.86,2.11,3.07,14.97,15.56,4.04,5.87,96.29,99.31,98.31,99.58,82.34,92.21,86.54,95.37,50.48,53.0,31.94,59.29,-4.24,-3.88,-6.1,-3.53
no_finetune,distilbert-base-cased,58.06,83.15,65.09,88.1,8.75,8.83,2.06,3.02,14.57,15.5,3.96,5.78,96.44,99.31,98.33,99.3,81.42,92.25,85.02,95.47,53.51,58.65,36.37,69.25,-2.86,-2.36,-4.35,-1.94
no_finetune,distilroberta-base,32.42,72.22,42.29,70.81,4.8,7.63,1.34,2.42,8.0,13.4,2.57,4.62,90.75,98.9,95.45,98.77,59.85,86.12,67.27,84.41,36.72,44.29,32.94,52.0,-1.48,-1.36,-1.42,-1.08
no_finetune,gpt2,21.76,63.4,33.33,61.01,3.24,6.71,1.04,2.08,5.4,11.79,1.99,3.97,85.73,98.37,94.72,98.31,46.44,79.36,60.66,79.15,23.41,42.84,23.67,26.71,-18.73,-14.96,-18.14,-17.32
no_finetune,roberta-base,39.84,76.79,47.65,80.01,5.9,8.12,1.51,2.73,9.83,14.27,2.89,5.22,92.79,99.21,96.94,99.4,67.56,89.2,72.69,91.89,40.43,46.45,30.27,57.54,-1.96,-1.74,-2.13,-1.4
no_finetune,xlnet-base-cased,35.76,74.08,37.68,75.16,5.12,7.8,1.15,2.52,8.55,13.7,2.22,4.82,93.32,99.2,95.75,99.38,68.32,88.36,67.07,91.72,25.94,28.24,16.36,23.35,-38.61,-34.69,-52.03,-41.37
